target,text
BANK_TRANSFER,UPI/P2A/604695551211/Miss Leah Reed MD/Yes Bank/UPI
BANK_TRANSFER,UPI/P2A/503685965900/Russell Bailey/Axis Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/789065721302/Tiffany Young/Yes Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/984021228436/SALARY/FEB/2023/Feb
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/530840859149/SALARY/NOV/2022/Nov
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/866226276142/Jill Morales/State Bank/UPI
SALARY,INB-BULK-UPLD/758977575342/SALARY/SEP/2021/Sep
BANK_TRANSFER,UPI/P2A/769197237820/Angela Hayes/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/187766400542/SALARY/JUN/2023/Jun
MERCHENT,UPI/P2M/551454941334/Michael Johnson/State Bank
SALARY,INB-BULK-UPLD/467447251707/SALARY/OCT/2023/Oct
SALARY,INB-BULK-UPLD/354829776076/SALARY/JUN/2023/Jun
SALARY,INB-BULK-UPLD/555631728532/SALARY/AUG/2020/Aug
BANK_TRANSFER,UPI/P2A/343733925357/Sarah Hill/Fedral Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/831170628809/Marcus Clark/ICICI Bank
SALARY,INB-BULK-UPLD/980105805564/SALARY/MAR/2021/Mar
MERCHENT,UPI/P2M/753475684858/Mary Fleming/Axis Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/635376009197/Justin Hogan/HDFC Bank/UPI
SALARY,INB-BULK-UPLD/770000479376/SALARY/JUN/2022/Jun
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/741853893137/SALARY/NOV/2020/Nov
BANK_TRANSFER,UPI/P2A/468005961912/Julie Booth DDS/Fedral Bank/UPI
SALARY,INB-BULK-UPLD/215098448828/SALARY/FEB/2020/Feb
